match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_key
44270,2021-07-18,Mexico,El Salvador,1.0,0.0,Gold Cup,Dallas,United States,True,2021-07-18|Mexico|El Salvador|Gold Cup|1.0|0.0|Dallas
44277,2021-07-24,Mexico,Honduras,3.0,0.0,Gold Cup,Glendale,United States,True,2021-07-24|Mexico|Honduras|Gold Cup|3.0|0.0|Glendale
44281,2021-07-29,Mexico,Canada,2.0,1.0,Gold Cup,Houston,United States,True,2021-07-29|Mexico|Canada|Gold Cup|2.0|1.0|Houston
44283,2021-08-01,United States,Mexico,1.0,0.0,Gold Cup,Las Vegas,United States,False,2021-08-01|United States|Mexico|Gold Cup|1.0|0.0|Las Vegas
44348,2021-09-02,Mexico,Jamaica,2.0,1.0,FIFA World Cup qualification,Mexico City,Mexico,False,2021-09-02|Mexico|Jamaica|FIFA World Cup qualification|2.0|1.0|Mexico City
44396,2021-09-05,Costa Rica,Mexico,0.0,1.0,FIFA World Cup qualification,San José,Costa Rica,False,2021-09-05|Costa Rica|Mexico|FIFA World Cup qualification|0.0|1.0|San José
44455,2021-09-08,Panama,Mexico,1.0,1.0,FIFA World Cup qualification,Panama City,Panama,False,2021-09-08|Panama|Mexico|FIFA World Cup qualification|1.0|1.0|Panama City
44484,2021-10-07,Mexico,Canada,1.0,1.0,FIFA World Cup qualification,Mexico City,Mexico,False,2021-10-07|Mexico|Canada|FIFA World Cup qualification|1.0|1.0|Mexico City
44547,2021-10-10,Mexico,Honduras,3.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2021-10-10|Mexico|Honduras|FIFA World Cup qualification|3.0|0.0|Mexico City
44616,2021-10-13,El Salvador,Mexico,0.0,2.0,FIFA World Cup qualification,San Salvador,El Salvador,False,2021-10-13|El Salvador|Mexico|FIFA World Cup qualification|0.0|2.0|San Salvador
44625,2021-10-27,Mexico,Ecuador,2.0,3.0,Friendly,Charlotte,United States,True,2021-10-27|Mexico|Ecuador|Friendly|2.0|3.0|Charlotte
44672,2021-11-12,United States,Mexico,2.0,0.0,FIFA World Cup qualification,Cincinnati,United States,False,2021-11-12|United States|Mexico|FIFA World Cup qualification|2.0|0.0|Cincinnati
44756,2021-11-16,Canada,Mexico,2.0,1.0,FIFA World Cup qualification,Edmonton,Canada,False,2021-11-16|Canada|Mexico|FIFA World Cup qualification|2.0|1.0|Edmonton
44802,2021-12-08,Mexico,Chile,2.0,2.0,Friendly,Austin,United States,True,2021-12-08|Mexico|Chile|Friendly|2.0|2.0|Austin
44901,2022-01-27,Jamaica,Mexico,1.0,2.0,FIFA World Cup qualification,Kingston,Jamaica,False,2022-01-27|Jamaica|Mexico|FIFA World Cup qualification|1.0|2.0|Kingston
44927,2022-01-30,Mexico,Costa Rica,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2022-01-30|Mexico|Costa Rica|FIFA World Cup qualification|0.0|0.0|Mexico City
44950,2022-02-02,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2022-02-02|Mexico|Panama|FIFA World Cup qualification|1.0|0.0|Mexico City
44974,2022-03-24,Mexico,United States,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2022-03-24|Mexico|United States|FIFA World Cup qualification|0.0|0.0|Mexico City
